ElemID,PointID,x,y,sigma_x,sigma_y,tau_xy,VonMises
1.300000000000000000e+01,2.000000000000000000e+00,4.375000000000000000e-01,0.000000000000000000e+00,-7.547343339050025861e+02,-3.802440933885218783e+03,-1.354301983641425031e+05,2.345978990423783835e+05
1.300000000000000000e+01,3.000000000000000000e+00,4.645632938682637270e-01,1.562499999999999827e-02,2.009916223489995173e+04,8.737476291420675989e+04,-1.441919756717859709e+05,2.620231736434944614e+05
1.300000000000000000e+01,4.000000000000000000e+00,4.333132938682637270e-01,1.562499999999999827e-02,1.592605036543035203e+04,7.659413747771261842e+04,-1.327884856956727454e+05,2.404138196632628387e+05
1.400000000000000000e+01,0.000000000000000000e+00,4.666566469341318912e-01,7.812499999999999133e-03,1.102463620163357155e+04,4.569449023249213496e+04,-1.448784914869848581e+05,2.543129878641403629e+05
1.400000000000000000e+01,1.000000000000000000e+00,4.375000000000000000e-01,0.000000000000000000e+00,-3.849712805200336447e+02,2.206588515575779468e+02,-1.357412281064939452e+05,2.351113031398403691e+05
1.400000000000000000e+01,2.000000000000000000e+00,4.687500000000000000e-01,0.000000000000000000e+00,-8.717732060892858499e+02,-4.517660552258380449e+03,-1.452939149036627205e+05,2.516906752227085817e+05
1.400000000000000000e+01,3.000000000000000000e+00,4.958132938682637270e-01,1.562499999999999827e-02,2.284947681427750285e+04,9.221781297442199138e+04,-1.526777733241865935e+05,2.772194117350809975e+05
1.400000000000000000e+01,4.000000000000000000e+00,4.645632938682637270e-01,1.562499999999999827e-02,1.813590727062980659e+04,8.029079896212519088e+04,-1.428575893405720708e+05,2.579617210797795851e+05
1.500000000000000000e+01,0.000000000000000000e+00,4.979066469341318357e-01,7.812499999999999133e-03,1.243763059688509929e+04,4.799382874095648003e+04,-1.530639667374448909e+05,2.686017618696413701e+05
1.500000000000000000e+01,1.000000000000000000e+00,4.687500000000000000e-01,0.000000000000000000e+00,-3.996506881256786414e+02,4.856226388114498604e+02,-1.456880806188086281e+05,2.523403260135388118e+05
1.500000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-9.814286411374422414e+02,-5.187408724955065736e+03,-1.532581649941318610e+05,2.654938356197127723e+05
1.500000000000000000e+01,3.000000000000000000e+00,5.270632938682636714e-01,1.562499999999999827e-02,2.573132730538171381e+04,9.668362001380055153e+04,-1.589298371129881125e+05,2.886141110315090045e+05
1.500000000000000000e+01,4.000000000000000000e+00,4.958132938682637270e-01,1.562499999999999827e-02,2.051341181764960857e+04,8.370393905692911358e+04,-1.510881142175104178e+05,2.723838300612258608e+05
1.600000000000000000e+01,0.000000000000000000e+00,5.291566469341317802e-01,7.812499999999999133e-03,1.391112656475604308e+04,5.009779265104257502e+04,-1.589941217096261389e+05,2.790049887569578714e+05
1.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e-01,0.000000000000000000e+00,-4.112914752835787908e+02,7.440803035423914480e+02,-1.537317075185243448e+05,2.662730601088756230e+05
1.600000000000000000e+01,2.000000000000000000e+00,5.312500000000000000e-01,0.000000000000000000e+00,-1.077054921161938637e+03,-5.806118603062194779e+03,-1.589500322775556997e+05,2.753615002774167224e+05
1.600000000000000000e+01,3.000000000000000000e+00,5.583132938682636714e-01,1.562499999999999827e-02,2.872323908007565115e+04,1.007585350327406049e+05,-1.625812354997163930e+05,2.956030611545393476e+05
1.600000000000000000e+01,4.000000000000000000e+00,5.270632938682636714e-01,1.562499999999999827e-02,2.304920905059128927e+04,8.682665878827519191e+04,-1.571028753814593074e+05,2.830420273810677463e+05
1.700000000000000000e+01,0.000000000000000000e+00,5.604066469341317802e-01,7.812499999999999133e-03,1.544003540825283199e+04,5.200429293254643562e+04,-1.623066638227594085e+05,2.849039354175109765e+05
1.700000000000000000e+01,1.000000000000000000e+00,5.312500000000000000e-01,0.000000000000000000e+00,-4.240292730698744776e+02,1.000931394225608074e+03,-1.594927136067332758e+05,2.762523903418940026e+05
1.700000000000000000e+01,2.000000000000000000e+00,5.625000000000000000e-01,0.000000000000000000e+00,-1.163570223589689704e+03,-6.390472843658864804e+03,-1.620029440418070299e+05,2.806592558772181510e+05
1.700000000000000000e+01,3.000000000000000000e+00,5.895632938682636714e-01,1.562499999999999827e-02,3.182346161983651473e+04,1.044336321965312382e+05,-1.632879710135027708e+05,2.976315860091511277e+05
1.700000000000000000e+01,4.000000000000000000e+00,5.583132938682636714e-01,1.562499999999999827e-02,2.572049306694782717e+04,8.962712617346592015e+04,-1.605337393530215486e+05,2.893139402869446203e+05
