x,y,w,theta_x,theta_y
6.395031754730547968e-01,6.249999999999999306e-02,-4.026620217874285895e-06,-6.130900940694600530e-07,-1.873388864725165530e-07
6.707531754730547968e-01,6.249999999999999306e-02,-4.392289810973396238e-06,-6.496762276316436421e-07,-1.775542270500741849e-07
7.020031754730547968e-01,6.249999999999999306e-02,-4.733625464166419025e-06,-6.793677542517241431e-07,-1.629602849317901834e-07
7.332531754730547968e-01,6.249999999999999306e-02,-5.040649664923059469e-06,-7.007084337982696965e-07,-1.432518673266679293e-07
7.645031754730547968e-01,6.249999999999999306e-02,-5.302936014070784919e-06,-7.124516047849467546e-07,-1.181660975431416748e-07
7.957531754730547968e-01,6.249999999999999306e-02,-5.510494897614443234e-06,-7.143638412778987077e-07,-8.823656778478150706e-08
8.270031754730547968e-01,6.249999999999999306e-02,-5.653611314492759433e-06,-7.050234536803956013e-07,-5.373805126996722857e-08
8.582531754730547968e-01,6.249999999999999306e-02,-5.717360027615749374e-06,-6.754371011684140100e-07,-8.932523742029807955e-09
8.895031754730547968e-01,6.249999999999999306e-02,-5.674292655501044730e-06,-6.157950635672917201e-07,5.513729991319341229e-08
9.207531754730547968e-01,6.249999999999999306e-02,-5.487907034546029948e-06,-5.334705263040581208e-07,1.355507519814948126e-07
9.520031754730547968e-01,6.249999999999999306e-02,-5.125552650312492132e-06,-4.394507477105146793e-07,2.274611750941050699e-07
9.832531754730547968e-01,6.249999999999999306e-02,-4.566052153813846801e-06,-3.338171839920960805e-07,3.338171839900201087e-07
1.014503175473054908e+00,6.249999999999999306e-02,-3.792789423449945372e-06,-2.231332939389175670e-07,4.392497075230557242e-07
1.045753175473054908e+00,6.249999999999999306e-02,-2.767624951454209946e-06,-8.734563984912560252e-08,5.998354352852293061e-07
1.077003175473054908e+00,6.249999999999999306e-02,-1.440914350859238487e-06,-2.448518978682133019e-08,6.991072800488800988e-07
1.108253175473054908e+00,6.249999999999999306e-02,0.000000000000000000e+00,1.590475335854440426e-09,7.352224311167061243e-07
1.353164693413185515e-01,7.812499999999998612e-02,0.000000000000000000e+00,-2.616665632241236235e-11,-1.293442446802337453e-08
1.665664693413185515e-01,7.812499999999998612e-02,-3.951181862081001972e-08,-9.943903706545521857e-09,-2.697454621345471729e-08
1.978164693413185515e-01,7.812499999999998612e-02,-1.093988141258815891e-07,-2.502930535460225348e-08,-4.325168416935470302e-08
2.290664693413185515e-01,7.812499999999998612e-02,-2.137809021480350372e-07,-4.535415029643772050e-08,-6.140417339906296730e-08
2.603164693413185793e-01,7.812499999999998612e-02,-3.560001125463760028e-07,-7.092877183580693093e-08,-8.101465873252243541e-08
2.915664693413185793e-01,7.812499999999998612e-02,-5.385149432679476563e-07,-1.016181922380942766e-07,-1.016181922380900547e-07
3.228164693413185793e-01,7.812499999999998612e-02,-7.628101838309793583e-07,-1.371551906104441123e-07,-1.227070075072310299e-07
3.540664693413185793e-01,7.812499999999998612e-02,-1.029318226821310124e-06,-1.771349839640959401e-07,-1.437377562027794242e-07
3.853164693413185793e-01,7.812499999999998612e-02,-1.337355564275009212e-06,-2.210160345577630591e-07,-1.641391740193903386e-07
4.165664693413185793e-01,7.812499999999998612e-02,-1.685074535133987933e-06,-2.681218971536833755e-07,-1.833198909993977378e-07
4.478164693413185793e-01,7.812499999999998612e-02,-2.069433603078126153e-06,-3.176471504915868738e-07,-2.006794234950911472e-07
4.790664693413185793e-01,7.812499999999998612e-02,-2.486190653418254589e-06,-3.686659078064328655e-07,-2.156183870805233391e-07
5.103164693413185793e-01,7.812499999999998612e-02,-2.929903781650281330e-06,-4.201338523604177479e-07,-2.275377146114858998e-07
5.415664693413185793e-01,7.812499999999998612e-02,-3.393953634067019550e-06,-4.709094358793817059e-07,-2.358645719864781884e-07
5.728164693413185793e-01,7.812499999999998612e-02,-3.870623776090205309e-06,-5.197816553037928477e-07,-2.400730189772981914e-07
6.040664693413185793e-01,7.812499999999998612e-02,-4.351177031009053253e-06,-5.654666215780074137e-07,-2.396678028248887487e-07
6.353164693413185793e-01,7.812499999999998612e-02,-4.825906241674423636e-06,-6.065991162864081123e-07,-2.341732829562302436e-07
6.665664693413185793e-01,7.812499999999998612e-02,-5.284179575589115094e-06,-6.417476392245434028e-07,-2.231494638209758784e-07
6.978164693413185793e-01,7.812499999999998612e-02,-5.714497906787548270e-06,-6.694424926164075591e-07,-2.061885459596029226e-07
7.290664693413185793e-01,7.812499999999998612e-02,-6.104708905719645737e-06,-6.883890883691954690e-07,-1.829977311181556025e-07
7.603164693413185793e-01,7.812499999999998612e-02,-6.442633257059010022e-06,-6.979155927954727181e-07,-1.537838957711067788e-07
7.915664693413185793e-01,7.812499999999998612e-02,-6.716346776613836972e-06,-6.970255970830853076e-07,-1.187819370034919141e-07
8.228164693413185793e-01,7.812499999999998612e-02,-6.912050611366212951e-06,-6.814716737711088389e-07,-7.575480871826452111e-08
8.540664693413185793e-01,7.812499999999998612e-02,-7.010112139487306638e-06,-6.454036941423802581e-07,-2.024572217309803397e-08
8.853164693413185793e-01,7.812499999999998612e-02,-6.984146687904030880e-06,-5.886313734723910704e-07,4.909487570995512427e-08
9.165664693413185793e-01,7.812499999999998612e-02,-6.805312279322316423e-06,-5.148027187597939968e-07,1.315167276264888758e-07
9.478164693413185793e-01,7.812499999999998612e-02,-6.448476326864390409e-06,-4.263285490139239617e-07,2.267993258312169686e-07
9.790664693413185793e-01,7.812499999999998612e-02,-5.894061333426189978e-06,-3.293810778034263589e-07,3.293810778005997571e-07
1.010316469341318468e+00,7.812499999999998612e-02,-5.125552650317257539e-06,-2.274611750967353983e-07,4.394507477086141491e-07
1.041566469341318468e+00,7.812499999999998612e-02,-4.136419540716658539e-06,-1.276237659965284388e-07,5.536188949609506350e-07
1.072816469341318468e+00,7.812499999999998612e-02,-2.887791365194133203e-06,-3.128671384977694888e-08,6.871225114175822445e-07
1.104066469341318468e+00,7.812499999999998612e-02,-1.467537339326113991e-06,-7.049585617443231238e-09,7.257184836161865241e-07
1.135316469341318468e+00,7.812499999999998612e-02,0.000000000000000000e+00,-1.356432388051573726e-09,7.347482937128785853e-07
1.623797632095822507e-01,9.374999999999998612e-02,0.000000000000000000e+00,-2.239235172591733945e-11,-2.187634080077716225e-08
1.936297632095822507e-01,9.374999999999998612e-02,-6.273655730792646224e-08,-1.332367091961126288e-08,-4.128368215666777525e-08
2.248797632095822507e-01,9.374999999999998612e-02,-1.667101662655658545e-07,-3.237597584337950903e-08,-6.303639006767783458e-08
2.561297632095822507e-01,9.374999999999998612e-02,-3.161305377348953158e-07,-5.709587569533608335e-08,-8.664258848871596591e-08
2.873797632095822507e-01,9.374999999999998612e-02,-5.141616244877686950e-07,-8.731404554244953573e-08,-1.115502031527021185e-07
3.186297632095822507e-01,9.374999999999998612e-02,-7.628101838309952401e-07,-1.227070075072452971e-07,-1.371551906104432123e-07
3.498797632095822507e-01,9.374999999999998612e-02,-1.062829326534019213e-06,-1.628094278672414322e-07,-1.628094278672242798e-07
3.811297632095822507e-01,9.374999999999998612e-02,-1.413639388515511718e-06,-2.070128153019975729e-07,-1.878298529964904029e-07
4.123797632095822507e-01,9.374999999999998612e-02,-1.813267500228941062e-06,-2.545689508164124799e-07,-2.115079900680534135e-07
4.436297632095822507e-01,9.374999999999998612e-02,-2.258307528519175964e-06,-3.045961740613902539e-07,-2.331214436046605367e-07
